participant,block,trial,effect,order,distance,diag,config_1,config_2,h_1,w_1,h_2,w_2,h_3,w_3,choice,choice_name,rt,correct
10,1,130,critical,hdw,45,upper,3,3.1,200,125,117,117,125,200,3,w,2.234520196914673,1
10,1,131,filler_square,NA,NA,NA,3,3.2,74.22071263645262,81.35290671818538,58.901614476085086,67.75862600472425,105.05445444528252,105.05445444528252,3,NA,1.1103274822235107,1
10,1,132,critical,hdw,45,upper,4,4.2,200,125,117,117,125,200,1,h,2.350403308868408,1
10,1,133,critical,dhw,45,upper,4,4.1,117,117,200,125,125,200,3,w,1.7025699615478516,1
10,1,134,critical,hdw,60,lower,1,1.1,133,57,55,55,57,133,1,h,1.7918951511383057,1
10,1,135,critical,hwd,60,upper,4,4.2,200,125,125,200,100,100,2,w,1.8100039958953857,1
10,1,136,critical,dwh,45,lower,2.1,2.11,65,65,57,133,133,57,3,h,2.2150442600250244,1
10,1,137,filler_random,NA,NA,NA,2.2,2.21,121.08291142369882,62.56176414653055,193.37560008781313,69.31100686625713,85.0404742709967,95.80328781917646,2,NA,1.12833833694458,1
10,1,138,critical,wdh,45,lower,3,3.2,57,133,65,65,133,57,3,h,3.2690370082855225,1
10,1,139,critical,dhw,60,lower,3,3.2,55,55,133,57,57,133,2,h,1.073953628540039,1
10,1,140,filler_square,NA,NA,NA,2.2,2.21,137.0869089330277,94.58547339709347,167.41824973618844,167.41824973618844,163.61444247920892,138.9232295606549,2,NA,1.4274718761444092,1
10,1,141,critical,wdh,45,upper,3,3.1,125,200,117,117,200,125,3,h,1.9441351890563965,1
10,1,142,critical,whd,60,upper,1,1.3,125,200,200,125,100,100,2,h,1.5936219692230225,1
10,1,143,critical,dhw,45,upper,3,3.1,117,117,200,125,125,200,3,w,2.122185468673706,1
10,1,144,critical,dhw,45,lower,1,1.1,65,65,133,57,57,133,2,h,2.090160846710205,1
10,1,145,critical,dhw,60,lower,4,4.2,55,55,133,57,57,133,2,h,1.3342821598052979,1
10,1,146,critical,dhw,45,lower,2.1,2.11,65,65,133,57,57,133,2,h,1.6042661666870117,1
10,1,147,filler_square,NA,NA,NA,4,4.2,139.1239442590989,106.56133806036125,105.09950130443742,99.04837950620674,139.7593066318299,139.7593066318299,3,NA,1.1791226863861084,1
10,1,148,critical,hwd,45,upper,2.1,2.11,200,125,125,200,117,117,1,h,2.2819952964782715,1
10,1,149,critical,wdh,45,upper,2.1,2.11,125,200,117,117,200,125,1,w,1.6749341487884521,1
10,1,150,filler_random,NA,NA,NA,2.1,2.12,100.09799069550024,146.9604412267795,58.9439414195369,182.22079044446645,118.73283128893118,161.72243488067556,3,NA,1.7097535133361816,1
10,1,151,critical,hwd,45,upper,2.1,2.12,200,125,125,200,117,117,2,w,2.0186967849731445,1
10,1,152,critical,hdw,60,upper,2.1,2.11,200,125,100,100,125,200,1,h,2.1835343837738037,1
10,1,153,critical,dwh,60,lower,2.1,2.12,55,55,57,133,133,57,3,h,1.9908759593963623,1
10,1,154,critical,wdh,60,upper,3,3.1,125,200,100,100,200,125,3,h,2.5431103706359863,1
10,1,155,critical,hwd,60,lower,1,1.1,133,57,57,133,55,55,1,h,1.9567620754241943,1
10,1,156,critical,hwd,45,lower,3,3.1,133,57,57,133,65,65,2,w,3.5338611602783203,1
10,1,157,critical,whd,60,lower,4,4.2,57,133,133,57,55,55,2,h,3.0389270782470703,1
10,1,158,catch,NA,NA,NA,2.2,2.22,84,106,160,165,104,86,2,NA,0.9877097606658936,1
10,1,159,critical,hdw,60,upper,4,4.2,200,125,100,100,125,200,3,w,1.7130193710327148,1
10,1,160,filler_square,NA,NA,NA,3,3.2,61.42569188140962,80.04547093838829,80.56848161558091,80.56848161558091,76.04221545385033,68.4904279405503,2,NA,2.7948098182678223,1
